Year.Reported.to.CDP,Account.Number,Organization,City,Country,CDP.Region,Reporting.Authority,Access,City.wide.emissions.inventory,Accounting.year,Administrative.city.boundary,Inventory.boundary..compared.to.Administrative.city.boundary.,Primary.Protocol,Primary.Protocol.Comment,Common.Reporting.Framework.inventory.format..GPC.,Gases.Included,Direct.emissions..metric.tonnes.CO2e..for.Total.generation.of.grid.supplied.energy,Direct.emissions..metric.tonnes.CO2e..for.Total.emissions..excluding.generation.of.grid.supplied.energy.,Indirect.emissions.from.use.of.grid.supplied.energy..metric.tonnes.CO2e..for.Total.generation.of.grid.supplied.energy,Indirect.emissions.from.use.of.grid.supplied.energy..metric.tonnes.CO2e..for.Total.Emissions..excluding.generation.of.grid.supplied.energy.,Emissions.occurring.outside.city.boundary..metric.tonnes.CO2e..for.Total.Generation.of.grid.supplied.energy,Emissions.occurring.outside.city.boundary..metric.tonnes.CO2e..for.Total.Emissions..excluding.generation.of.grid.supplied.energy.,TOTAL.Scope.1.Emissions..metric.tonnes.CO2e.,TOTAL.Scope.2.emissions..metric.tonnes.CO2e.,TOTAL.Scope.3.Emissions,TOTAL.BASIC.Emissions..GPC.,TOTAL.BASIC+Emissions..GPC.,Change.in.emissions,Primary.reason.for.the.change.in.emissions,Land.area..in.square.km.,Population,Population.Year,City.Location,Last.update.
2019,840935,Prefeitura de Brasil??ia,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,25848,2018,,2020-05-01T03:57:57.217
2019,49359,City of Harare,Harare,Zimbabwe,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,1836552,2019,POINT (30.9328 -17.8284),2020-05-01T03:57:57.217
2019,58357,City of West Hollywood,West Hollywood,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,2008-01-01 - 2008-12-31,NA,,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,34399,2010,POINT (-118.362 34.09),2020-05-01T03:57:57.217
2019,55373,Prefeitura Municipal de Cabre??va,Cabre??va,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,47877,2017,POINT (-47.1367 -23.3058),2020-05-01T03:57:57.217
2019,54342,Jbail-Byblos Municipality,,Lebanon,Middle East,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,40000000,2019,,2020-05-01T03:57:57.217
2019,832838,Town of Wellfleet,Wellfleet,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-07-01 - 2018-06-30,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,12422.55,7838.23,21526.21,20314.83,41786.99,,,NA,3500,2018,POINT (-70.031 41.9305),2020-05-01T03:57:57.217
2019,54667,Prefeitura Municipal de Contagem,Contagem,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,603442,2010,,2020-05-01T03:57:57.217
2019,840931,Prefeitura de Cordeir??polis,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,25000,2019,,2020-05-01T03:57:57.217
2019,53829,"City of Kingston, ON",Kingston,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2",NA,NA,NA,NA,NA,NA,1149000,NA,NA,NA,NA,,,NA,124000,2016,,2020-05-01T03:57:57.217
2019,831620,Yaound?? 3,Yaound?? 3,Cameroon,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,In progress,2018-07-01 - 2019-06-30,NA,,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,476016,2018,POINT (11.31 3.52),2020-05-01T03:57:57.217
2019,36286,Comune di Ferrara,Ferrara,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,132009,2017,POINT (11.619 44.8357),2020-05-01T03:57:57.217
2019,840313,Municipalidad Cerro Navia,,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,132622,2017,,2020-05-01T03:57:57.217
2019,50386,Prefeitura de Cuiab??,Cuiab??,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,580489,2015,POINT (-52.2663 -15.882),2020-05-01T03:57:57.217
2019,36469,Comune dell'Aquila,L'Aquila,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,69439,2018,POINT (13.3995 42.3505),2020-05-01T03:57:57.217
2019,840925,Prefeitura de Indiaroba,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,17957,2019,,2020-05-01T03:57:57.217
2019,31446,Taipei City Government,Taipei,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Taipei city have been using GPC methodology to make City GHG inventory since 2014.,,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Increased,Increased energy/electricity consumption,NA,2668572,2018,POINT (121.564 25.0375),2020-05-01T03:57:57.217
2019,840490,City of La Carlota,,Philippines,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,64469,2015,,2020-05-01T03:57:57.217
2019,58531,"City of Somerville, MA",Somerville,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Please see Methods Memorandum attachment for full methodology,Yes,"CH4, CO2, N20",NA,467600,NA,124237,NA,26537,NA,NA,NA,NA,NA,Decreased,Change in weather conditions,NA,81562,2018,POINT (-71.0826 42.3934),2020-05-01T03:57:57.217
2019,35870,City of Miami,Miami,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,470914,2018,POINT (-80.1918 25.7617),2020-05-01T03:57:57.217
2019,54699,Prefeitura Municipal de Barueri,Barueri,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,271306,2018,,2020-05-01T03:57:57.217
2019,60284,Prefeitura de Angra dos Reis,Angra dos Reis,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,169511,2010,POINT (-44.2442 -22.9983),2020-05-01T03:57:57.217
2019,54030,City of Little Rock,Little Rock,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,198600,2017,POINT (-92.2896 34.7465),2020-05-01T03:57:57.217
2019,839964,Ameghino,Ameghino,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,Lack of documentation,NA,8869,21,,2020-05-01T03:57:57.217
