Year.Reported.to.CDP,Account.Number,Organization,City,Country,CDP.Region,Reporting.Authority,Access,City.wide.emissions.inventory,Accounting.year,Administrative.city.boundary,Inventory.boundary..compared.to.Administrative.city.boundary.,Primary.Protocol,Primary.Protocol.Comment,Common.Reporting.Framework.inventory.format..GPC.,Gases.Included,Direct.emissions..metric.tonnes.CO2e..for.Total.generation.of.grid.supplied.energy,Direct.emissions..metric.tonnes.CO2e..for.Total.emissions..excluding.generation.of.grid.supplied.energy.,Indirect.emissions.from.use.of.grid.supplied.energy..metric.tonnes.CO2e..for.Total.generation.of.grid.supplied.energy,Indirect.emissions.from.use.of.grid.supplied.energy..metric.tonnes.CO2e..for.Total.Emissions..excluding.generation.of.grid.supplied.energy.,Emissions.occurring.outside.city.boundary..metric.tonnes.CO2e..for.Total.Generation.of.grid.supplied.energy,Emissions.occurring.outside.city.boundary..metric.tonnes.CO2e..for.Total.Emissions..excluding.generation.of.grid.supplied.energy.,TOTAL.Scope.1.Emissions..metric.tonnes.CO2e.,TOTAL.Scope.2.emissions..metric.tonnes.CO2e.,TOTAL.Scope.3.Emissions,TOTAL.BASIC.Emissions..GPC.,TOTAL.BASIC+Emissions..GPC.,Change.in.emissions,Primary.reason.for.the.change.in.emissions,Land.area..in.square.km.,Population,Population.Year,City.Location,Last.update.
2019,54102,City of Albany,Albany,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,-,NA,,Other: New York Community and Regional GHG Inventory Guidance,Created by New York GHG Working Group,,"CH4, CO2, HFCs, N20, PFCs, SF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,97856,2010,POINT (-73.7562 42.6526),2020-05-01T03:57:57.217
2019,60419,Municipalidad de Rio Grande,Rio Grande,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,981954,NA,NA,810086,810086,Do not know,,NA,88741,2019,POINT (-67.7002 -53.786),2020-05-01T03:57:57.217
2019,50557,City of Norfolk,Norfolk,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2010-01-01 - 2010-12-31,NA,,,Conducted in accordance with the U.S. Community Protocol (ICLEI 2012).,,CO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This is our first year of calculation,,NA,246256,2017,POINT (38.8468 -76.2851),2020-05-01T03:57:57.217
2019,54116,City of Dubuque,Dubuque,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,NA,Same- covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,CO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decreased,Technological change,NA,58276,2018,POINT (-90.5071 42.5006),2020-05-01T03:57:57.217
2019,840917,Prefeitura de Pau Brasil,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,10852,2010,,2020-05-01T03:57:57.217
2019,50679,Munic??pio de Barreiro,Barreiro,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,78764,2011,POINT (-9.07907 38.6608),2020-05-01T03:57:57.217
2019,2430,City of Burlington,Burlington,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,NA,Larger- covers the whole city and adjoining areas,Other: Local Government Greenhouse Gas (GHG) Emissions Analysis Protocol developed by the Climate Registry and ICLEI,,,CO2,0,359615,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decreased,Other: Change in energy source,NA,42284,2015,POINT (-73.2121 44.4759),2020-05-01T03:57:57.217
2019,50566,City of Anchorage,Anchorage,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,295365,2018,POINT (-149.9 61.2181),2020-05-01T03:57:57.217
2019,840507,Dura Municipality,,State of Palestine,Middle East,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,0,,2020-05-01T03:57:57.217
2019,50364,Municipalidad de La Paz,La Paz (Bolivia),Bolivia (Plurinational State of),Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,798,2017,POINT (-68.15 -16.5),2020-05-01T03:57:57.217
2019,73750,Tarakan City,,Indonesia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2010-01-01 - 2010-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),GPC reporting level : BASIC,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,339843.46,152320.77,NA,492164.23,492164.23,Do not know,Other,NA,253026,2017,,2020-05-01T03:57:57.217
2019,35993,Singapore Government,Singapore,Singapore,Southeast Asia and Oceania,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,NA,Same- covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,We have also used the Revised 1996 IPCC Guidelines and the IPCC Good Practice Guidance to calculate emissions from certain sources.,,"CH4, CO2, HFCs, N20, PFCs, SF6",NA,NA,NA,NA,NA,NA,48432920,0,NA,NA,NA,Increased,Population increase,NA,5640000,2018,POINT (103.82 1.35208),2020-05-01T03:57:57.217
2019,54109,City of Bloomington,Bloomington,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The GPC methodology was chosen because it a comprehensive protocol that is used by cities across the world. It was also chosen in an attempt to establish a consistent methodology for GHG accounting going forward.Now that Bloomington is a part of the Global Covenant of Mayors, using the GPC is a requirement for GHG reporting. A new GHG inventory for the community will be completed by fall 2019 using GPC and guidance from ICLEI Local Governments for Sustainability ClearPath software.",No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,627454,829264,182942,1639657,1639657,Do not know,Change in methodology,NA,84981,2018,POINT (-86.5264 39.1653),2020-05-01T03:57:57.217
2019,840070,Somerset West and Taunton,,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This is our first year of calculation,,NA,153866,2018,,2020-05-01T03:57:57.217
2019,50377,Municipio de Quer??taro,,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-04-30 - 2015-04-30,NA,Partial- covers part of the city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Para las 4 categor??as consideradas del IPCC (energ??a, procesos industriales y usos de agricultura, silvicultura y otros usos de la tierra y desecho), los gases de efecto invernadero que se estimaron son los siguientes:Bi??xido de carbono, metano, ??xido nitroso, ??xido de nitr??geno, compuestos org??nicos vol??tiles diferentes al metano, halocarbonos y hexacloruro de azufre, as?? como di??xido de carbono equivalente.",,"CH4, CO2, HFCs, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Increased,Population increase,NA,878931,2015,,2020-05-01T03:57:57.217
2019,840419,Mahasarakham Municipality,,Thailand,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,NA,,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,62448.58,184372.18,414.93,246291.72,247235.68,Increased,Change in calculation following verification,NA,49841,2019,,2020-05-01T03:57:57.217
2019,31177,Salt Lake City,Salt Lake City,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,NA,Same- covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stayed the same,,NA,192672,2015,POINT (-111.891 40.7608),2020-05-01T03:57:57.217
2019,58513,City of Medford,Medford,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,City specific methodology,"We followed the City of Cambridge's greenhouse gas emissions methodology, which follows GPC.",,CO2,0,220603.32,1041.57,99417.5,0,93063.31,NA,NA,NA,NA,NA,Increased,"Other: Weather, inconsistent methodology, unavailable data",NA,57797,2017,POINT (-122.876 42.3265),2020-05-01T03:57:57.217
2019,73738,Khon Kaen City,,Thailand,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,139565.82,214866.16,40760.64,395192.62,NA,Decreased,Technological change,NA,119265,2018,,2020-05-01T03:57:57.217
2019,35904,Kolkata Metropolitan Area,Kolkata,India,South and West Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,-2060,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,15892788,2011,POINT (88.3639 22.5726),2020-05-01T03:57:57.217
2019,73724,Arteaga,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",0,25160.43,0,2696.95,0,413.67,NA,NA,NA,NA,NA,This is our first year of calculation,Other,NA,3546,2014,,2020-05-01T03:57:57.217
2019,68383,Prefeitura de Itatiba,Itatiba,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-12-01 -,NA,,Regional or country specific methodology,,,CO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,115051,2016,POINT (-23 46.5),2020-05-01T03:57:57.217
2019,62868,Eskiè?ehir Metropolitan Municipality,Eskiè?ehir,Turkey,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,871187,2018,POINT (30.5256 39.7667),2020-05-01T03:57:57.217
2019,49333,"City of Louisville, KY",Louisville,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",10844022,9955664,NA,9883480,NA,1715766,NA,NA,NA,NA,NA,Decreased,Technological change,NA,770517,2018,POINT (-85.6784 38.196),2020-05-01T03:57:57.217
2019,60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,60379,2015,POINT (10.521 57.4427),2020-05-01T03:57:57.217
2019,54114,City of Asheville,Asheville,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,91902,2017,POINT (-82.5515 35.5951),2020-05-01T03:57:57.217
2019,73722,Mornington Peninsula Shire,,Australia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-07-01 - 2018-06-30,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20",NA,NA,NA,NA,NA,NA,958773,992254,116185,1858540,2067212,Increased,Other: Inclusion of BASIC+ sectors,NA,160862,2016,,2020-05-01T03:57:57.217
2019,50578,City of Windsor,Windsor,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The 2014 baseline inventory for,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,1968805,102003,181709,2111433,2252052,Increased,Increased energy/electricity consumption,NA,233763,2018,POINT (-83.0364 42.3149),2020-05-01T03:57:57.217
2019,35878,City of Sacramento,Sacramento,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,NA,Same- covers entire city and nothing else,Other,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,508529,2018,POINT (-121.494 38.5816),2020-05-01T03:57:57.217
2019,50357,Ciudad de Mendoza,Mendoza,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,NA,,Regional or country specific methodology,RAMCCRed Argentina de Municipios frente al Cambio Clim??tico,,CO2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Do not know,,NA,115041,2010,POINT (-68.8458 -32.8894),2020-05-01T03:57:57.217
2019,60381,Alcald??a Distrital de Santa Marta,Santa Marta,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,NA,Same- covers entire city and nothing else,Regional or country specific methodology,"manuales de Fundamentos y planeaci??n de inventario de emisiones, Manual de inventario de fuentes difusas, manual de inventario de fuentes puntuales y manual de inventario de fuentes m??viles, de la serie de manuales para inventarios de emisiones del Ministerio del Medio Ambiente, vivienda y Desarrollo Territorial de Colombia.",,"CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,507324,2019,POINT (-74.2127 11.2453),2020-05-01T03:57:57.217
2019,59644,"City of Culver City, CA",Culver City,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,In progress,2017-01-01 - 2017-12-31,NA,,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,39860,2018,POINT (-118.4 34.02),2020-05-01T03:57:57.217
2019,60003,Baguio City,,Philippines,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,345366,2015,,2020-05-01T03:57:57.217
2019,59538,City of Mississauga,Mississauga,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),We have also used other methodologies (particularly with regards to waste). More information can be found in the attached Excel worksheet.,Yes,"CH4, CO2, N20",NA,7447065,NA,125825,NA,NA,NA,NA,NA,NA,NA,Do not know,Change in methodology,NA,721599,2016,POINT (43.589 -79.6441),2020-05-01T03:57:57.217
2019,54104,City of Boulder,Boulder,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The city reports to the BASIC level,Yes,"CH4, CO2, N20",0,751388.46,0,774365.26,0,194961.73,NA,NA,NA,NA,NA,Decreased,Technological change,NA,108507,2017,POINT (-105.252 40.0274),2020-05-01T03:57:57.217
2019,35910,Pune Municipal Corporation,Pune,India,South and West Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-12-01 - 2017-12-01,NA,Same- covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,3402000,2011,,2020-05-01T03:57:57.217
2019,54306,Medan City Government,,Indonesia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,2247425,2017,,2020-05-01T03:57:57.217
2019,840370,Upplands-Bro Municipality,Upplands-Bro kommun,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Regional or country specific methodology,"The data in the database originates from:ü?? Sweden's reporting to the Climate Convention and the Air Safety Conventionü?? Geographical distribution of the total emissions Sweden reportsThe data in the database is based on Sweden's official emission statistics, which are reported for the Climate Convention and the Air Safety Convention. Emissions for Sweden have been distributed across the country in a grid where the squares correspond to 1 km2. The distribution is done using relevant statistics and geographical data, such as road networks, pastures, felled forests, population data. This geographical distribution means that the national total emissions are broken down and distributed at regional and local level. The breakdown into higher spatial resolution includes a geographical limitation of where emissions occur (eg road networks) and statistics at regional and local level. This means that the finer the division, the greater the uncertainty.",,"CH4, CO2, HFCs, N20, PFCs, SF6",12582.4,124766.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decreased,Technological change,NA,28912,2019,,2020-05-01T03:57:57.217
2019,826208,Junta Intermunicipal de Medio Ambiente de Sierra Occidental y Costa (JISOC),JISOC,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,344325,2015,POINT (-104.783 20.517),2020-05-01T03:57:57.217
2019,2185,Bristol City Council,Bristol,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),SCATTER report attached at 4.5.,Yes,"CH4, CO2, N20",791.09,1108722.31,0,625025.24,146.11,440914.2,NA,NA,NA,NA,NA,Decreased,Other: Grid decarbonisation.,NA,459300,2017,,2020-05-01T03:57:57.217
2019,50356,Ayuntamiento de Morelia,Morelia,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,784776,2015,POINT (-117.069 32.5026),2020-05-01T03:57:57.217
2019,831433,Comuna de Ataliva,Ataliva,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,2500,2010,POINT (61 31),2020-05-01T03:57:57.217
2019,826380,Junta Intermunicipal de la Cuenca Baja del Rio Ayuquila (JIRA),,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,144000,2015,,2020-05-01T03:57:57.217
2019,60236,Municipality of Trelleborg,Trelleborg,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,44854,2018,POINT (13.1569 55.3751),2020-05-01T03:57:57.217
2019,54352,City of Muntinlupa,,Philippines,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",NA,362253.08,NA,854000,NA,10764.73,NA,NA,NA,NA,NA,This is our first year of calculation,,NA,504509,2015,,2020-05-01T03:57:57.217
2019,840926,Prefeitura de Serra Talhada,,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,79232,2010,,2020-05-01T03:57:57.217
2019,54389,Taichung City Government,Taichung,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Taiwan has promulgated the ü??Guideline of GHG Inventory for County and Municipal Governmentü?ù in 2011, the guideline has been revised according to the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories from ICLEI. With the latest GPC concept and methodology, the inventory has compliance with international regulation.",No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",NA,NA,NA,NA,NA,NA,57023748.4,15540054.6,1032598.3,62173728,73596401.4,Increased,Increased energy/electricity consumption,NA,2803894,2018,POINT (120.647 24.1619),2020-05-01T03:57:57.217
2019,50362,Municipalidad de Concepci??n,Concepci??n,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,223574,2017,POINT (-73.0498 -36.827),2020-05-01T03:57:57.217
2019,59160,Ville de Nyon,Nyon,Switzerland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2018-01-01 - 2018-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2",NA,NA,NA,NA,NA,NA,98739,12895,156,111703,111790,Increased,Population increase,NA,21211,2019,POINT (6.23478 46.3833),2020-05-01T03:57:57.217
2019,52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",NA,NA,NA,NA,NA,NA,737282,300814,89532,1128628,NA,This is our first year of calculation,Lack of knowledge overcome,NA,641523,2016,POINT (-37.0731 -10.9472),2020-05-01T03:57:57.217
2019,74427,City of Sarasota,Sarasota,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2018-01-01 - 2018-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,220114,407299,41350,668763,NA,Decreased,,NA,56000,2016,POINT (27.3364 82.5307),2020-05-01T03:57:57.217
2019,73759,Jambi City,,Indonesia,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,In progress,2018-01-01 - 2018-12-31,NA,,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,591134,2017,,2020-05-01T03:57:57.217
2019,31149,City of Athens,Athens,Greece,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,1175500,2038412,614277,3537650,3828189,Increased,Increased energy/electricity consumption,NA,664046,2011,POINT (23.7275 37.9838),2020-05-01T03:57:57.217
2019,50671,Munic??pio de Fafe,Fafe,Portugal,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2013-01-01 - 2013-12-31,NA,,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Determination of CO2 emissions methodology is based on IPCC principles. Presented data is determined by applying emission factors to the data resulting from energy baseline emissions. The energy baseline emissions are calculated using a mathematical model that is based on local energy consumption and macroeconomic and demographic variables.,,CO2,NA,195597,NA,NA,NA,NA,NA,NA,NA,NA,NA,This is our first year of calculation,,NA,50633,2011,POINT (-8.17286 41.4508),2020-05-01T03:57:57.217
2019,60053,Indore Municipal Corporation,,India,South and West Asia,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,-,NA,Same- covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CO2, N20, PFCs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,2197447,2011,,2020-05-01T03:57:57.217
2019,826239,Alcaldia de Sop??,Sop??,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,In progress,-,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,27932,2017,POINT (-73.9384 4.9075),2020-05-01T03:57:57.217
2019,840492,City of Malolos,,Philippines,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,252074,2015,,2020-05-01T03:57:57.217
2019,73668,Malabrigo,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2014-01-01 - 2014-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utiliz?? la herramienta de c??lculo desarrollada por la Red Argentina de Municipios frente al Cambio Clim??tica, que fue dise?§ada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,45291.33,0,3857.78,0,591.72,NA,NA,NA,NA,NA,This is our first year of calculation,Other,NA,7339,2010,,2020-05-01T03:57:57.217
2019,63919,"City of Saratoga Springs, NY",Saratoga Springs,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,28027,2017,POINT (-73.8167 43.0333),2020-05-01T03:57:57.217
2019,35863,eThekwini Municipality,Durban,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2017-01-01 - 2017-12-31,NA,Same- covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Increased,Improved data accuracy,NA,3887356,2017,POINT (31.0218 -29.8587),2020-05-01T03:57:57.217
2019,58626,"City of Racine, WI",,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,78860,2010,,2020-05-01T03:57:57.217
2019,839971,San Nicol??s de los Arroyos,San Nicol??s de los Arroyos,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,NA,,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",2587059.25,612548.92,NA,171595.07,NA,27861.26,NA,NA,NA,NA,NA,Do not know,,NA,145857,2010,,2020-05-01T03:57:57.217
